 12.2076 12.3061 12.4046 12.5031 12.6016 12.7 12.7984 12.8966 12.9946 13.0924 13.1898 13.2869 13.3837 13.4799 13.5757 13.671 13.7657 13.8599 13.9535 14.0466 14.1392 14.2313 14.3228 14.414 14.5047 14.5952 14.6853 14.7752 14.8649 14.9545
 12.9971 13.0963 13.1955 13.2947 13.3938 13.4926 13.5912 13.6893 13.7868 13.8836 13.9796 14.0748 14.1691 14.2625 14.3549 14.4464 14.5369 14.6265 14.7152 14.8031 14.8902 14.9766 15.0624 15.1476 15.2324 15.3167 15.4006 15.4843 15.5679 15.6513
 13.7946 13.8956 13.9966 14.0972 14.1972 14.2963 14.3942 14.4907 14.5856 14.6789 14.7705 14.8605 14.9488 15.0356 15.1208 15.2047 15.2873 15.3687 15.449 15.5283 15.6068 15.6844 15.7614 15.8378 15.9137 15.9892 16.0644 16.1392 16.2139 16.2885
 14.6133 14.7186 14.8229 14.9249 15.0238 15.1194 15.2116 15.3006 15.3866 15.4698 15.5505 15.6289 15.7053 15.7799 15.8529 15.9245 15.9948 16.0641 16.1323 16.1998 16.2665 16.3325 16.3979 16.4628 16.5272 16.5911 16.6547 16.7179 16.7808 16.8432
 15.4866 15.6023 15.7034 15.7937 15.8761 15.9525 16.0245 16.0929 16.1586 16.2221 16.2839 16.3442 16.4032 16.4613 16.5183 16.5746 16.6301 16.685 16.7391 16.7927 16.8456 16.8978 16.9494 17.0003 17.0504 17.0996 17.1479 17.195 17.2408 17.285
 16.5839 16.5903 16.6097 16.6377 16.6713 16.7087 16.7485 16.7898 16.832 16.8748 16.9178 16.9607 17.0035 17.046 17.088 17.1295 17.1704 17.2105 17.2497 17.2879 17.3249 17.3604 17.3942 17.426 17.4552 17.4815 17.5039 17.5216 17.5333 17.5372
 17.369 17.3715 17.379 17.391 17.4069 17.4261 17.4479 17.4718 17.4973 17.5241 17.5517 17.58 17.6087 17.6375 17.6663 17.6948 17.7228 17.7503 17.777 17.8026 17.8272 17.8503 17.8718 17.8914 17.9088 17.9237 17.9359 17.9448 17.9504 17.9522
 18.071 18.0723 18.0761 18.0823 18.0908 18.1013 18.1136 18.1275 18.1426 18.1588 18.1759 18.1935 18.2116 18.23 18.2485 18.2668 18.2849 18.3026 18.3198 18.3362 18.3518 18.3663 18.3797 18.3917 18.4022 18.411 18.4181 18.4232 18.4263 18.4274
 18.7317 18.7323 18.7344 18.7377 18.7422 18.7479 18.7547 18.7624 18.7709 18.7801 18.7898 18.8 18.8105 18.8213 18.8321 18.8429 18.8535 18.864 18.8741 18.8837 18.8928 18.9013 18.909 18.9159 18.9219 18.927 18.931 18.9339 18.9356 18.9362
 19.3706 19.3709 19.3718 19.3733 19.3753 19.3778 19.3808 19.3843 19.3881 19.3922 19.3967 19.4013 19.4061 19.4111 19.416 19.421 19.4259 19.4307 19.4354 19.4398 19.444 19.4479 19.4514 19.4546 19.4574 19.4597 19.4615 19.4628 19.4636 19.4638
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
