0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 0.14282 
0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 0.285639 
0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 0.428459 
0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 0.571278 
0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 0.714098 
0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 0.856917 
0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 0.999737 
1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 1.14256 
1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 1.28538 
1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 1.4282 
1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 1.57101 
1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 1.71383 
1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 1.85665 
1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 1.99947 
2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 2.14229 
2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 2.28511 
2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 2.42793 
2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 2.57075 
2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 2.71357 
2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 2.85639 
2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 2.99921 
3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 3.14203 
3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 3.28485 
3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 3.42767 
3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 3.57049 
3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 3.71331 
3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 3.85613 
