-1.8566 -1.66117 -1.46574 -1.2703 -1.07487 -0.879442 -0.68401 -0.488579 -0.293147 -0.0977157 0.0977157 0.293147 0.488579 0.68401 0.879442 1.07487 1.2703 1.46574 1.66117 1.8566 
-1.87912 -1.68132 -1.48351 -1.28571 -1.08791 -0.890109 -0.692307 -0.494505 -0.296703 -0.0989009 0.0989009 0.296703 0.494505 0.692307 0.890109 1.08791 1.28571 1.48351 1.68132 1.87912 
-1.90732 -1.70655 -1.50578 -1.30501 -1.10424 -0.903466 -0.702696 -0.501926 -0.301155 -0.100385 0.100385 0.301155 0.501926 0.702696 0.903466 1.10424 1.30501 1.50578 1.70655 1.90732 
-1.94359 -1.739 -1.53441 -1.32982 -1.12524 -0.920647 -0.716059 -0.511471 -0.306882 -0.102294 0.102294 0.306882 0.511471 0.716059 0.920647 1.12524 1.32982 1.53441 1.739 1.94359 
-1.99182 -1.78216 -1.57249 -1.36283 -1.15316 -0.943495 -0.73383 -0.524164 -0.314498 -0.104833 0.104833 0.314498 0.524164 0.73383 0.943495 1.15316 1.36283 1.57249 1.78216 1.99182 
-2.05872 -1.84201 -1.6253 -1.4086 -1.19189 -0.975183 -0.758475 -0.541768 -0.325061 -0.108354 0.108354 0.325061 0.541768 0.758475 0.975183 1.19189 1.4086 1.6253 1.84201 2.05872 
-2.15655 -1.92954 -1.70254 -1.47553 -1.24853 -1.02152 -0.794517 -0.567512 -0.340507 -0.113502 0.113502 0.340507 0.567512 0.794517 1.02152 1.24853 1.47553 1.70254 1.92954 2.15655 
-2.30907 -2.06601 -1.82295 -1.57989 -1.33683 -1.09377 -0.850712 -0.607651 -0.364591 -0.12153 0.12153 0.364591 0.607651 0.850712 1.09377 1.33683 1.57989 1.82295 2.06601 2.30907 
-2.56171 -2.29206 -2.0224 -1.75275 -1.4831 -1.21344 -0.943788 -0.674134 -0.404481 -0.134827 0.134827 0.404481 0.674134 0.943788 1.21344 1.4831 1.75275 2.0224 2.29206 2.56171 
-2.97268 -2.65976 -2.34685 -2.03394 -1.72102 -1.40811 -1.0952 -0.782283 -0.46937 -0.156457 0.156457 0.46937 0.782283 1.0952 1.40811 1.72102 2.03394 2.34685 2.65976 2.97268 
-3.48732 -3.12024 -2.75315 -2.38606 -2.01898 -1.65189 -1.2848 -0.917717 -0.55063 -0.183543 0.183543 0.55063 0.917717 1.2848 1.65189 2.01898 2.38606 2.75315 3.12024 3.48732 
-3.89829 -3.48794 -3.0776 -2.66725 -2.2569 -1.84656 -1.43621 -1.02587 -0.615519 -0.205173 0.205173 0.615519 1.02587 1.43621 1.84656 2.2569 2.66725 3.0776 3.48794 3.89829 
-4.15093 -3.71399 -3.27705 -2.84011 -2.40317 -1.96623 -1.52929 -1.09235 -0.655409 -0.21847 0.21847 0.655409 1.09235 1.52929 1.96623 2.40317 2.84011 3.27705 3.71399 4.15093 
-4.30345 -3.85046 -3.39746 -2.94447 -2.49147 -2.03848 -1.58548 -1.13249 -0.679493 -0.226498 0.226498 0.679493 1.13249 1.58548 2.03848 2.49147 2.94447 3.39746 3.85046 4.30345 
-4.40128 -3.93799 -3.4747 -3.0114 -2.54811 -2.08482 -1.62152 -1.15823 -0.694939 -0.231646 0.231646 0.694939 1.15823 1.62152 2.08482 2.54811 3.0114 3.4747 3.93799 4.40128 
-4.46818 -3.99784 -3.52751 -3.05717 -2.58684 -2.1165 -1.64617 -1.17584 -0.705502 -0.235167 0.235167 0.705502 1.17584 1.64617 2.1165 2.58684 3.05717 3.52751 3.99784 4.46818 
-4.51641 -4.041 -3.56559 -3.09018 -2.61476 -2.13935 -1.66394 -1.18853 -0.713118 -0.237706 0.237706 0.713118 1.18853 1.66394 2.13935 2.61476 3.09018 3.56559 4.041 4.51641 
-4.55268 -4.07345 -3.59422 -3.11499 -2.63576 -2.15653 -1.6773 -1.19807 -0.718845 -0.239615 0.239615 0.718845 1.19807 1.6773 2.15653 2.63576 3.11499 3.59422 4.07345 4.55268 
-4.58088 -4.09868 -3.61649 -3.13429 -2.65209 -2.16989 -1.68769 -1.2055 -0.723297 -0.241099 0.241099 0.723297 1.2055 1.68769 2.16989 2.65209 3.13429 3.61649 4.09868 4.58088 
-4.6034 -4.11883 -3.63426 -3.1497 -2.66513 -2.18056 -1.69599 -1.21142 -0.726853 -0.242284 0.242284 0.726853 1.21142 1.69599 2.18056 2.66513 3.1497 3.63426 4.11883 4.6034 
