0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 0.526316 
1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 1.05263 
1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 1.57895 
2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 2.10526 
2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 2.63158 
3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 3.15789 
3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 3.68421 
4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 4.21053 
4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 4.73684 
5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 5.26316 
5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 5.78947 
6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 6.31579 
6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 6.84211 
7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 7.36842 
7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 7.89474 
8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 8.42105 
8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 8.94737 
9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 9.47368 
10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 
